category_slug,cloudinary_public_id,download_message,external_id,image_url,local_file,local_path,location_id,location_name,location_slug,location_status,photo_id,photo_index,photographer,photographer_url,provider,provider_page_url,source_url,status,thumbnail_url
am-thuc-dia-phuong,danangtrip/locations/nha-hang-hancook/loc-236__nha-hang-hancook__p01,downloaded:240025,osm-node-4464451390,https://images.pexels.com/photos/35271944/pexels-photo-35271944.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-236__nha-hang-hancook__osm-node-4464451390__p01__pexels-35271944.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-236__nha-hang-hancook__osm-node-4464451390__p01__pexels-35271944.jpg,236,Nha hang HanCook,nha-hang-hancook,inactive,35271944,1,Nha van,https://www.pexels.com/@nhavan,pexels,https://www.pexels.com/photo/young-woman-enjoying-vietnamese-meal-indoors-35271944/,https://www.openstreetmap.org/node/4464451390,downloaded,https://images.pexels.com/photos/35271944/pexels-photo-35271944.jpeg?auto=compress&cs=tinysrgb&h=350
am-thuc-dia-phuong,danangtrip/locations/nha-hang-hancook/loc-236__nha-hang-hancook__p01,downloaded:240025,osm-node-4339674598,https://images.pexels.com/photos/35271944/pexels-photo-35271944.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-236__nha-hang-hancook__osm-node-4339674598__p01__pexels-35271944.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-236__nha-hang-hancook__osm-node-4339674598__p01__pexels-35271944.jpg,236,Nha hang HanCook,nha-hang-hancook,inactive,35271944,1,Nha van,https://www.pexels.com/@nhavan,pexels,https://www.pexels.com/photo/young-woman-enjoying-vietnamese-meal-indoors-35271944/,https://www.openstreetmap.org/node/4339674598,downloaded,https://images.pexels.com/photos/35271944/pexels-photo-35271944.jpeg?auto=compress&cs=tinysrgb&h=350
am-thuc-dia-phuong,danangtrip/locations/nha-hang-hancook/loc-236__nha-hang-hancook__p01,downloaded:240025,osm-node-4464451389,https://images.pexels.com/photos/35271944/pexels-photo-35271944.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-236__nha-hang-hancook__osm-node-4464451389__p01__pexels-35271944.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-236__nha-hang-hancook__osm-node-4464451389__p01__pexels-35271944.jpg,236,Nha hang HanCook,nha-hang-hancook,inactive,35271944,1,Nha van,https://www.pexels.com/@nhavan,pexels,https://www.pexels.com/photo/young-woman-enjoying-vietnamese-meal-indoors-35271944/,https://www.openstreetmap.org/node/4464451389,downloaded,https://images.pexels.com/photos/35271944/pexels-photo-35271944.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-dinh-quoc-vuong/loc-239__nha-tro-dinh-quoc-vuong__p01,downloaded:501538,osm-node-3489018330,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-239__nha-tro-dinh-quoc-vuong__osm-node-3489018330__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-239__nha-tro-dinh-quoc-vuong__osm-node-3489018330__p01__pexels-5273872.jpg,239,Nha tro Dinh Quoc Vuong,nha-tro-dinh-quoc-vuong,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3489018330,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-duong-thi-tanh/loc-240__nha-tro-duong-thi-tanh__p01,downloaded:501538,osm-node-3478891526,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-240__nha-tro-duong-thi-tanh__osm-node-3478891526__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-240__nha-tro-duong-thi-tanh__osm-node-3478891526__p01__pexels-5273872.jpg,240,Nha tro DUong Thi Tanh,nha-tro-duong-thi-tanh,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3478891526,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-hoang-van-sinh/loc-241__nha-tro-hoang-van-sinh__p01,downloaded:501538,osm-node-3489018328,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-241__nha-tro-hoang-van-sinh__osm-node-3489018328__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-241__nha-tro-hoang-van-sinh__osm-node-3489018328__p01__pexels-5273872.jpg,241,Nha tro Hoang Van Sinh,nha-tro-hoang-van-sinh,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3489018328,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-hua-dien/loc-242__nha-tro-hua-dien__p01,downloaded:501538,osm-node-3512677311,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-242__nha-tro-hua-dien__osm-node-3512677311__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-242__nha-tro-hua-dien__osm-node-3512677311__p01__pexels-5273872.jpg,242,Nha tro Hua Dien,nha-tro-hua-dien,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3512677311,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-huynh-dinh/loc-243__nha-tro-huynh-dinh__p01,downloaded:501538,osm-node-3455687232,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-243__nha-tro-huynh-dinh__osm-node-3455687232__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-243__nha-tro-huynh-dinh__osm-node-3455687232__p01__pexels-5273872.jpg,243,Nha tro Huynh Dinh,nha-tro-huynh-dinh,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3455687232,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-huynh-dinh-dung/loc-244__nha-tro-huynh-dinh-dung__p01,downloaded:501538,osm-node-3560105163,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-244__nha-tro-huynh-dinh-dung__osm-node-3560105163__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-244__nha-tro-huynh-dinh-dung__osm-node-3560105163__p01__pexels-5273872.jpg,244,Nha tro Huynh Dinh Dung,nha-tro-huynh-dinh-dung,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3560105163,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-le-duc-tin/loc-245__nha-tro-le-duc-tin__p01,downloaded:501538,osm-node-3489018331,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-245__nha-tro-le-duc-tin__osm-node-3489018331__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-245__nha-tro-le-duc-tin__osm-node-3489018331__p01__pexels-5273872.jpg,245,Nha tro Le Duc Tin,nha-tro-le-duc-tin,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3489018331,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-mai-truc-lam/loc-246__nha-tro-mai-truc-lam__p01,downloaded:501538,osm-node-3495233441,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-246__nha-tro-mai-truc-lam__osm-node-3495233441__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-246__nha-tro-mai-truc-lam__osm-node-3495233441__p01__pexels-5273872.jpg,246,Nha tro Mai Truc Lam,nha-tro-mai-truc-lam,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3495233441,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-ngo-dinh-tu/loc-247__nha-tro-ngo-dinh-tu__p01,downloaded:501538,osm-node-3514922511,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-247__nha-tro-ngo-dinh-tu__osm-node-3514922511__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-247__nha-tro-ngo-dinh-tu__osm-node-3514922511__p01__pexels-5273872.jpg,247,Nha tro Ngo Dinh Tu,nha-tro-ngo-dinh-tu,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3514922511,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-nguyen-doan-chinh/loc-248__nha-tro-nguyen-doan-chinh__p01,downloaded:501538,osm-node-3560105167,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-248__nha-tro-nguyen-doan-chinh__osm-node-3560105167__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-248__nha-tro-nguyen-doan-chinh__osm-node-3560105167__p01__pexels-5273872.jpg,248,Nha tro Nguyen Doan Chinh,nha-tro-nguyen-doan-chinh,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3560105167,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
khach-san-homestay,danangtrip/locations/nha-tro-nguyen-huy-vu/loc-249__nha-tro-nguyen-huy-vu__p01,downloaded:501538,osm-node-3560105161,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,loc-249__nha-tro-nguyen-huy-vu__osm-node-3560105161__p01__pexels-5273872.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\locations\2026-06-04-overpass-published-inactive\originals\loc-249__nha-tro-nguyen-huy-vu__osm-node-3560105161__p01__pexels-5273872.jpg,249,Nha tro Nguyen Huy Vu,nha-tro-nguyen-huy-vu,inactive,5273872,1,Thanh Do,https://www.pexels.com/@dothanhyb,pexels,https://www.pexels.com/photo/nha-khach-hao-gia-hotel-5273872/,https://www.openstreetmap.org/node/3560105161,downloaded,https://images.pexels.com/photos/5273872/pexels-photo-5273872.jpeg?auto=compress&cs=tinysrgb&h=350
