location_slug,location_name,review_status,approve_for_location_seed,matched_tour_count,matched_tour_slugs,suggested_action,fix_notes
bach-ma-national-park,Bach Ma National Park,pending_review,False,1,dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours,create_location_seed_before_tour_locations,
chan-may-port,Chan May Port,pending_review,False,3,vmtravel-hue-shore-excursions-from-chan-may-port-book-1-day-tour; vmtravel-hue-shore-bana-hills-day-trip-from-chan-may-port-best-shore-excursion; vmtravel-hue-shore-hue-imperial-tour-from-chan-may-port-best-shore-excursions,create_location_seed_before_tour_locations,
hoa-phu-thanh,Hoa Phu Thanh,pending_review,False,1,dananglocaltours-hoa-phu-thanh-waterfall-sliding-daily-tour-da-nang-local-tours,create_location_seed_before_tour_locations,
hue-imperial-city,Hue Imperial City,pending_review,False,4,dananglocaltours-basket-boat-hue-tour-from-da-nang-good-price-1-da-nang-local-tours; vmtravel-hue-shore-excursions-from-chan-may-port-book-1-day-tour; vmtravel-hue-shore-bana-hills-day-trip-from-chan-may-port-best-shore-excursion; vmtravel-hue-shore-hue-imperial-tour-from-chan-may-port-best-shore-excursions,create_location_seed_before_tour_locations,
nui-than-tai-hot-spring-park,Nui Than Tai Hot Spring Park,pending_review,False,1,dananglocaltours-basket-boat-nui-than-tai-hot-spring-park-tour-from-da-nang-good-price-1,create_location_seed_before_tour_locations,
tien-sa-port,Tien Sa Port,pending_review,False,5,vmtravel-da-nang-shore-excursions-from-tien-sa-port-deluxe-tours; vmtravel-danang-shore-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port; vmtravel-danang-shore-da-nang-city-tour-from-tien-sa-port-explore-and-shopping; vmtravel-danang-shore-hoi-an-day-tour-from-tien-sa-port-hoi-an-shore-excursions; vmtravel-danang-shore-my-son-sanctuary-tour-from-tien-sa-port-explore-now,create_location_seed_before_tour_locations,
