publish_readiness,blocking_reasons,warnings,name,slug,source_name,source_url,price_adult,price_raw,duration,itinerary_count,inclusions_count,exclusions_count,image_count,thumbnail
ready_for_manual_publish,,,Ba Na Hills And Golden Bridge Tour From Tien Sa Port,vmtravel-recheck-001-ba-na-hills-and-golden-bridge-tour-from-tien-sa-port,vmtravel_recheck_001,https://vmtravel.com/tours/ba-na-hills-and-golden-bridge-tour-from-tien-sa/,2300000.0,$92,1 Day,3,6,2,8,https://vmtravel.com/wp-content/uploads/2024/07/Bana-Hills-cable-car-in-Da-Nang.jpg
ready_for_manual_publish,,,Da Nang City Tour From Tien Sa Port - Explore and Shopping,vmtravel-recheck-002-da-nang-city-tour-from-tien-sa-port-explore-and-shopping,vmtravel_recheck_002,https://vmtravel.com/tours/da-nang-city-tour-from-tien-sa-port/,2050000.0,$82,1 Day,7,5,2,8,https://vmtravel.com/wp-content/uploads/2023/07/da-nang-city-tour-1.jpg
ready_for_manual_publish,,,Hoi An Day Tour from Tien Sa Port - Hoi An Shore Excursions,vmtravel-recheck-003-hoi-an-day-tour-from-tien-sa-port-hoi-an-shore-excursions,vmtravel_recheck_003,https://vmtravel.com/tours/hoi-an-day-tour-from-tien-sa-port/,1500000.0,$60,1 Day,3,5,3,8,https://vmtravel.com/wp-content/uploads/2023/07/hoi-an-full-day-tour.jpg
ready_for_manual_publish,,,My Son Sanctuary Tour From Tien Sa Port - Explore Now,vmtravel-recheck-004-my-son-sanctuary-tour-from-tien-sa-port-explore-now,vmtravel_recheck_004,https://vmtravel.com/tours/my-son-sanctuary-tour-from-tien-sa-port/,1350000.0,$54,1 Day,4,5,3,8,https://vmtravel.com/wp-content/uploads/2023/07/my-son-sanctuary.jpg
ready_for_manual_publish,,,Hue Imperial Tour from Chan May Port: Best Shore Excursions,vmtravel-recheck-005-hue-imperial-tour-from-chan-may-port-best-shore-excursions,vmtravel_recheck_005,https://vmtravel.com/tours/hue-imperial-tour-from-chan-may-port/,4600000.0,$184,8 Hours,8,5,3,8,https://vmtravel.com/wp-content/uploads/2025/12/Hue-day-trip-from-Chan-May-Port.webp
