location_slug,location_name,review_status,approve_for_location_seed,reject_reason,fix_notes,category_slug,address,district,ward,latitude,longitude,short_description,description,source_type,source_references,reference_urls,review_flags
bach-ma-national-park,Bach Ma National Park,approved,True,,Auto-approved: Nominatim/OpenStreetMap coordinates present.,dia-diem-tham-quan,"Bach Ma National Park, Bạch Mã, Khu 5, Phú Lộc Commune, Huế, 53000, Vietnam",Huế,Khu 5,16.2157265,107.8533926,"Bach Ma National Park la dia diem lien quan den hanh trinh tour DanangTrip, can admin duyet thong tin truoc khi seed.","Bach Ma National Park duoc thu thap tu OpenStreetMap/Nominatim voi dia chi tham chieu: Bach Ma National Park, Bạch Mã, Khu 5, Phú Lộc Commune, Huế, 53000, Vietnam. Ban ghi dang o trang thai pending_review va can kiem tra lai toa do, dia chi, danh muc truoc khi dua vao database.",nominatim,OpenStreetMap contributors; Nominatim,,low_nominatim_importance
chan-may-port,Chan May Port,approved,True,,Auto-approved: Nominatim/OpenStreetMap coordinates present.,dia-diem-tham-quan,"Chan May Port, Chân Mây - Lăng Cô Commune, Huế, Vietnam",Huế,,16.3240874,108.0249266,"Chan May Port la dia diem lien quan den hanh trinh tour DanangTrip, can admin duyet thong tin truoc khi seed.","Chan May Port duoc thu thap tu OpenStreetMap/Nominatim voi dia chi tham chieu: Chan May Port, Chân Mây - Lăng Cô Commune, Huế, Vietnam. Ban ghi dang o trang thai pending_review va can kiem tra lai toa do, dia chi, danh muc truoc khi dua vao database.",nominatim,OpenStreetMap contributors; Nominatim,,low_nominatim_importance
hoa-phu-thanh,Hoa Phu Thanh,pending_review,False,,Pending: fallback coordinates require manual check.,dia-diem-tham-quan,"Hoa Phu, Hoa Vang, Da Nang, Vietnam",Hoa Vang,Hoa Phu,15.9998,107.9834,"Hoa Phu Thanh la dia diem lien quan den hanh trinh tour DanangTrip, can admin duyet thong tin truoc khi seed.","Hoa Phu Thanh duoc thu thap tu configured fallback context voi dia chi tham chieu: Hoa Phu, Hoa Vang, Da Nang, Vietnam. Ban ghi dang o trang thai pending_review va can kiem tra lai toa do, dia chi, danh muc truoc khi dua vao database.",curated_fallback,Configured fallback context,https://hoiandaytrip.com/hoa-phu-thanh-tourist-area/; https://indanang.vn/en/listing/hoa-phu-thanh-tourist-area/,used_curated_fallback; manual_coordinate_review_required
hue-imperial-city,Hue Imperial City,approved,True,,Auto-approved: Nominatim/OpenStreetMap coordinates present.,dia-diem-tham-quan,"Imperial Citadel, Road 2, Đông Ba, Phú Xuân Ward, Huế, 54000, Vietnam",Phú Xuân Ward,Đông Ba,16.4689726,107.5781266,"Hue Imperial City la dia diem lien quan den hanh trinh tour DanangTrip, can admin duyet thong tin truoc khi seed.","Hue Imperial City duoc thu thap tu OpenStreetMap/Nominatim voi dia chi tham chieu: Imperial Citadel, Road 2, Đông Ba, Phú Xuân Ward, Huế, 54000, Vietnam. Ban ghi dang o trang thai pending_review va can kiem tra lai toa do, dia chi, danh muc truoc khi dua vao database.",nominatim,OpenStreetMap contributors; Nominatim,,
nui-than-tai-hot-spring-park,Nui Than Tai Hot Spring Park,pending_review,False,,Pending: fallback coordinates require manual check.,dia-diem-tham-quan,"Hoa Phu, Hoa Vang, Da Nang, Vietnam",Hoa Vang,Hoa Phu,15.9946,107.9872,"Nui Than Tai Hot Spring Park la dia diem lien quan den hanh trinh tour DanangTrip, can admin duyet thong tin truoc khi seed.","Nui Than Tai Hot Spring Park duoc thu thap tu configured fallback context voi dia chi tham chieu: Hoa Phu, Hoa Vang, Da Nang, Vietnam. Ban ghi dang o trang thai pending_review va can kiem tra lai toa do, dia chi, danh muc truoc khi dua vao database.",curated_fallback,Configured fallback context,https://vietnamtourism.gov.vn/en/post/10543; https://www.originvietnam.com/destinations/nui-than-tai-hot-spring-park/,used_curated_fallback; manual_coordinate_review_required
tien-sa-port,Tien Sa Port,approved,True,,Auto-approved: Nominatim/OpenStreetMap coordinates present.,dia-diem-tham-quan,"Tien Sa Port, Sơn Trà Ward, Đà Nẵng, Vietnam",Đà Nẵng,Sơn Trà Ward,16.119709,108.2171737,"Tien Sa Port la dia diem lien quan den hanh trinh tour DanangTrip, can admin duyet thong tin truoc khi seed.","Tien Sa Port duoc thu thap tu OpenStreetMap/Nominatim voi dia chi tham chieu: Tien Sa Port, Sơn Trà Ward, Đà Nẵng, Vietnam. Ban ghi dang o trang thai pending_review va can kiem tra lai toa do, dia chi, danh muc truoc khi dua vao database.",nominatim,OpenStreetMap contributors; Nominatim,,low_nominatim_importance
