publish_readiness,blocking_reasons,warnings,name,slug,source_name,source_url,price_adult,price_raw,duration,itinerary_count,inclusions_count,exclusions_count,image_count,thumbnail
needs_recrawl,insufficient_images,,Hue Tour From Da Nang Good Price #1 - Da Nang Local Tours,recheck-dananglocal-hue-hue-tour-from-da-nang-good-price-1-da-nang-local-tours,recheck_dananglocal_hue,https://dananglocaltours.com/tour/hue-tour-from-da-nang/,1475000.0,59 USD,1 Day,8,7,4,1,https://dananglocaltours.com/wp-content/uploads/2019/12/hue-tour-from-da-nang.jpg
needs_recrawl,incomplete_itinerary; incomplete_exclusions; insufficient_images,,Am Phu Cave Tour with Marble Mountain & Lady Buddha - HoiAn Day Trip Company,recheck-hoiandaytrip-am-phu-am-phu-cave-tour-with-marble-mountain-lady-buddha-hoian-day-trip-company,recheck_hoiandaytrip_am_phu,https://hoiandaytrip.com/am-phu-cave-tour/,1125000.0,from $45,4 hours,0,10,0,1,https://hoiandaytrip.com/wp-content/uploads/2024/11/am-phu-cave-1.jpg
needs_recrawl,incomplete_itinerary; incomplete_exclusions,,Ba Na Hills Afternoon Tour with Golden Hands Bridge - HoiAn Day Trip Company,recheck-hoiandaytrip-bana-afternoon-ba-na-hills-afternoon-tour-with-golden-hands-bridge-hoian-day-trip-company,recheck_hoiandaytrip_bana_afternoon,https://hoiandaytrip.com/ba-na-hills-afternoon-tour/,2125000.0,from $85,FULL DAY,0,10,0,3,https://hoiandaytrip.com/wp-content/uploads/2024/11/golden-hands-bridge-vietnam-photos-15.jpg
needs_recrawl,incomplete_itinerary; incomplete_exclusions; insufficient_images,,Ba Na Hills Early Morning Tour to Beat the Crowds - HoiAn Day Trip Company,recheck-hoiandaytrip-bana-early-ba-na-hills-early-morning-tour-to-beat-the-crowds-hoian-day-trip-company,recheck_hoiandaytrip_bana_early,https://hoiandaytrip.com/ba-na-hills-early-morning-tour/,2125000.0,from $85,1 day,0,10,0,1,https://hoiandaytrip.com/wp-content/uploads/2024/11/french-village-ba-na-hills-7.jpg
