asset_id,bytes,cloudinary_public_id,cloudinary_resource_type,content_type,duplicate_of_cloudinary_public_id,error,format,height,image_alt,image_url,is_primary,local_file,local_path,photo_index,photographer,photographer_url,provider,provider_page_url,provider_photo_id,public_id,rights_note,secure_url,sha256,source_url,status,tour_name,tour_slug,upload_status,version,width,﻿catalog_index
19fe816a11727a73cc14c94f6c22f9c5,433967,danangtrip/tours/bana-hills-afternoon-night/tour-001__p01__venus-video-scaled,image,image/jpeg,,,jpg,1440,,https://venus-cdn.b-cdn.net/wp-content/uploads/2025/08/Video-scaled.jpg,True,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p01__venus-video-scaled.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p01__venus-video-scaled.jpg,1,,,venus,,,danangtrip/tours/bana-hills-afternoon-night/tour-001__p01__venus-video-scaled,Downloaded from operator source page; verify reuse permission before production publication.,https://res.cloudinary.com/dmukxquza/image/upload/v1780804996/danangtrip/tours/bana-hills-afternoon-night/tour-001__p01__venus-video-scaled.jpg,21106a5a3a1903e641e1144fceeb3c9b54524e88499fef5d965d4bbef4cd0182,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,already_downloaded,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,uploaded,1780804996,2560,1
425629c5b10f64ca4615f3f441d3c421,318294,danangtrip/tours/bana-hills-afternoon-night/tour-001__p02__pexels-28297412,image,image/jpeg,,,jpg,1253,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR - Pexels candidate for Ba Na Hills Golden Bridge Da Nang Vietnam,https://images.pexels.com/photos/28297412/pexels-photo-28297412.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,False,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p02__pexels-28297412.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p02__pexels-28297412.jpg,2,Pham Ngoc Anh,https://www.pexels.com/@pham-ngoc-anh-170983008,pexels,https://www.pexels.com/photo/a-bridge-with-giant-hands-on-it-in-the-fog-28297412/,28297412,danangtrip/tours/bana-hills-afternoon-night/tour-001__p02__pexels-28297412,Pexels attribution metadata retained; verify final usage terms.,https://res.cloudinary.com/dmukxquza/image/upload/v1780804999/danangtrip/tours/bana-hills-afternoon-night/tour-001__p02__pexels-28297412.jpg,6dce3cb318737b947a81b1d6fb63a4f50272238632effc95a426a00cdf4500c0,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,already_downloaded,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,uploaded,1780804999,1880,1
d502e90f983f89068f85bab9dffa4253,348799,danangtrip/tours/bana-hills-afternoon-night/tour-001__p03__pexels-20602155,image,image/jpeg,,,jpg,1252,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR - Pexels candidate for Ba Na Hills Golden Bridge Da Nang Vietnam,https://images.pexels.com/photos/20602155/pexels-photo-20602155.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,False,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p03__pexels-20602155.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p03__pexels-20602155.jpg,3,Kirandeep Singh Walia,https://www.pexels.com/@kirandeepsingh,pexels,https://www.pexels.com/photo/golden-hand-bridge-in-da-nang-in-vietnam-20602155/,20602155,danangtrip/tours/bana-hills-afternoon-night/tour-001__p03__pexels-20602155,Pexels attribution metadata retained; verify final usage terms.,https://res.cloudinary.com/dmukxquza/image/upload/v1780805002/danangtrip/tours/bana-hills-afternoon-night/tour-001__p03__pexels-20602155.jpg,53a71733eeba1e98bd6a14d27b3d8b5e482336ede0f233408cf0348b43e69ef7,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,already_downloaded,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,uploaded,1780805002,1880,1
