catalog_index,tour_name,tour_slug,source_url,photo_index,is_primary,provider,provider_photo_id,provider_page_url,photographer,photographer_url,image_url,image_alt,local_file,local_path,content_type,bytes,sha256,width,height,cloudinary_public_id,cloudinary_resource_type,status,error,rights_note,duplicate_of_cloudinary_public_id
1,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,1,True,venus,,,,,https://venus-cdn.b-cdn.net/wp-content/uploads/2025/08/Video-scaled.jpg,,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p01__venus-video-scaled.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p01__venus-video-scaled.jpg,image/jpeg,433967,21106a5a3a1903e641e1144fceeb3c9b54524e88499fef5d965d4bbef4cd0182,,,danangtrip/tours/bana-hills-afternoon-night/tour-001__p01__venus-video-scaled,image,already_downloaded,,Downloaded from operator source page; verify reuse permission before production publication.,
1,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,2,False,pexels,28297412,https://www.pexels.com/photo/a-bridge-with-giant-hands-on-it-in-the-fog-28297412/,Pham Ngoc Anh,https://www.pexels.com/@pham-ngoc-anh-170983008,https://images.pexels.com/photos/28297412/pexels-photo-28297412.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR - Pexels candidate for Ba Na Hills Golden Bridge Da Nang Vietnam,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p02__pexels-28297412.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p02__pexels-28297412.jpg,image/jpeg,318294,6dce3cb318737b947a81b1d6fb63a4f50272238632effc95a426a00cdf4500c0,,,danangtrip/tours/bana-hills-afternoon-night/tour-001__p02__pexels-28297412,image,already_downloaded,,Pexels attribution metadata retained; verify final usage terms.,
1,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR,recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel,https://venusvietnamtravel.com/afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour/,3,False,pexels,20602155,https://www.pexels.com/photo/golden-hand-bridge-in-da-nang-in-vietnam-20602155/,Kirandeep Singh Walia,https://www.pexels.com/@kirandeepsingh,https://images.pexels.com/photos/20602155/pexels-photo-20602155.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,AFTERNOON BA NA HILLS – GOLDEN BRIDGE & DRAGON BRIDGE BY NIGHT TOUR - Pexels candidate for Ba Na Hills Golden Bridge Da Nang Vietnam,tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p03__pexels-20602155.jpg,D:\DATN\DATN_Tài liệu\data-center\media-assets\cloudinary-staging\tours\2026-06-07-verified-real-tours\originals\tour-001__recrawl-018-venusvietnamtravel-afternoon-ba-na-hills-golden-bridge-dragon-bridge-by-night-tour-venustravel__p03__pexels-20602155.jpg,image/jpeg,348799,53a71733eeba1e98bd6a14d27b3d8b5e482336ede0f233408cf0348b43e69ef7,,,danangtrip/tours/bana-hills-afternoon-night/tour-001__p03__pexels-20602155,image,already_downloaded,,Pexels attribution metadata retained; verify final usage terms.,
