id,entity_type,external_id,name,address,latitude,longitude,category,has_image_candidate,duplicate_source_table,duplicate_source_id,duplicate_match_score,score,review_bucket,review_reasons,source_url
291,restaurant,osm-node-5485496021,Be Bien,"202, Duong Vo Nguyen Giap, Da Nang",16.0686243,108.244962,am-thuc-dia-phuong,False,locations,51,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5485496021
292,restaurant,osm-node-5487860421,Minh Quang,Da Nang,16.0512864,108.2377222,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5487860421
293,restaurant,osm-node-5539964821,KFC,Da Nang,16.0668458,108.2135577,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5539964821
294,restaurant,osm-node-5541654970,NEM Restaurant,"216, Vo Nguyen Giap, Son Tra, Da Nang",16.0675122,108.2449556,am-thuc-dia-phuong,False,locations,51,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5541654970
295,restaurant,osm-node-5552095626,Hai San Thanh Hien 2,"Vo Nguyen Giap, Da Nang",16.0598778,108.2462089,am-thuc-dia-phuong,False,locations,67,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5552095626
297,restaurant,osm-node-5582157521,Da Nang com chay,"87/16, Nguyen Du, Da Nang",16.0784606,108.219203,am-thuc-dia-phuong,False,locations,54,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5582157521
301,restaurant,osm-node-5678663421,Mi Quang Giao Thuy,"16, Duong Ba Dinh, Da Nang",16.0762132,108.2193113,am-thuc-dia-phuong,False,locations,46,80.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5678663421
308,restaurant,osm-node-5791962853,Huong Khach Vegetarian,"106, Hoang Dieu, Da Nang",16.0642464,108.2185815,am-thuc-dia-phuong,False,locations,60,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5791962853
313,restaurant,osm-node-5898266285,Bun Cha Ha Noi,Da Nang,16.0746282,108.218807,am-thuc-dia-phuong,False,,,,5,manual_review,weak_address;missing_image_candidate,https://www.openstreetmap.org/node/5898266285
314,restaurant,osm-node-5901161285,Hiri,"41, Le Hong Phong, Da Nang",16.0639503,108.221258,am-thuc-dia-phuong,False,locations,94,70.00,2,duplicate_reject_or_link,missing_image_candidate;duplicate_match,https://www.openstreetmap.org/node/5901161285
